Designator,Layer,Mid X,Mid Y,Rotation
C1,Top,1.425,3.221,180
C2,Top,2.145,3.421,0
C3,Top,1.425,3.466,180
C4,Top,1.425,3.531,180
C5,Top,1.425,3.596,180
C6,Top,1.7,3.666,90
C7,Top,2.035,3.656,90
C8,Top,2.145,3.361,0
C9,Top,2.025,3.061,270
C10,Top,1.715,3.061,270
C11,Top,1.425,3.281,180
C12,Top,1.498,3.108,180
C13,Top,0.47,2.892,0
C14,Top,0.468,2.479,0
C15,Top,5.624,0.383,90
C16,Top,5.565,0.213,0
C17,Top,4.551,0.269,0
C18,Top,4.69,0.382,90
C19,Top,2.401,3.741,180
C20,Top,2.665,2.836,0
C21,Top,2.66,3.211,0
C22,Top,4.903,0.373,90
D1,Top,0.164,2.883,180
D2,Top,1.751,3.901,180
IC1,Top,5.072,0.308,270
J5,Top,6.2,0.385,90
J7,Top,3.25,0.405,180
J9,Top,0.2,3.63,270
JP1,Bottom,6.199,0.183,90
LED1,Bottom,2.178,3.822,0
MK1,Top,1.794,2.769,90
Q1,Top,1.7,2.5,180
R1,Top,1.425,3.401,180
R2,Top,1.425,3.341,180
R3,Top,1.073,3.128,90
R4,Top,0.993,3.128,90
R5,Top,0.428,3.543,90
R6,Top,0.42,3.78,270
R7,Top,1.7,2.602,0
R8,Top,6.062,0.206,0
R9,Top,6.064,0.141,0
R10,Top,1.79,3.656,90
R11,Top,1.912,3.657,90
R12,Top,1.85,3.656,90
R13,Top,1.973,3.658,90
R14,Top,2.26,3.236,0
R15,Top,2.465,0.53,90
R16,Top,2.405,0.53,90
R17,Top,1.81,3.066,90
R18,Top,1.87,3.066,90
S1,Top,1.175,3.86,180
S2,Top,2.506,3.86,0
U$1,Top,2.49,3.577,0
U1,Top,1.815,3.346,90
U2,Top,1.373,2.918,0
U3,Top,0.531,2.692,0
U4,Top,5.475,0.333,180
U5,Top,4.54,0.379,0
Y1,Top,2.48,3.051,270
