Designator,Mid X,Mid Y,Layer,Rotation
C1,36.20,81.81,Top,180.0
C2,54.48,86.89,Top,0.0
C3,36.20,88.04,Top,180.0
C4,36.20,89.69,Top,180.0
C5,36.20,91.34,Top,180.0
C6,43.18,93.12,Top,90.0
C7,51.69,92.86,Top,90.0
C8,54.48,85.37,Top,0.0
C9,51.44,77.75,Top,270.0
C10,43.56,77.75,Top,270.0
C11,36.20,83.34,Top,180.0
C12,38.05,78.94,Top,180.0
C13,11.94,73.46,Top,0.0
C14,11.89,62.97,Top,0.0
C15,142.85, 9.73,Top,90.0
C16,141.35, 5.41,Top,0.0
C17,115.60, 6.83,Top,0.0
C18,119.13, 9.70,Top,90.0
C19,60.99,95.02,Top,180.0
C20,67.69,72.03,Top,0.0
C21,67.56,81.56,Top,0.0
C22,124.54, 9.47,Top,90.0
D1, 4.17,73.23,Top,180.0
D2,44.48,99.09,Top,0.0
IC1,128.83, 7.82,Top,270.0
J5,157.48, 9.78,Top,90.0
J7,82.55,10.29,Top,180.0
J9, 5.08,92.20,Top,270.0
MK1,45.57,70.33,Top,90.0
Q1,43.18,63.50,Top,180.0
R1,36.20,86.39,Top,180.0
R2,36.20,84.86,Top,180.0
R3,27.25,79.45,Top,90.0
R5,10.87,89.99,Top,90.0
R6,10.67,96.01,Top,270.0
R7,43.18,66.09,Top,0.0
R8,153.97, 5.23,Top,0.0
R9,154.03, 3.58,Top,0.0
R10,45.47,92.86,Top,90.0
R11,48.56,92.89,Top,90.0
R12,46.99,92.86,Top,90.0
R13,50.11,92.91,Top,90.0
R14,57.40,82.19,Top,0.0
R15,62.61,13.46,Top,90.0
R16,61.09,13.46,Top,90.0
R17,45.97,77.88,Top,90.0
R18,47.50,77.88,Top,90.0
S1,29.85,98.04,Top,180.0
S2,63.65,98.04,Top,0.0
U$1,63.25,90.86,Top,0.0
U1,46.10,84.99,Top,90.0
U2,34.87,74.12,Top,0.0
U3,13.49,68.38,Top,0.0
U4,139.06, 8.46,Top,180.0
U5,115.32, 9.63,Top,0.0
Y1,62.99,77.50,Top,270.0
